origin,job_original,populations_original,origin_DA_id,job_increase
13444164,180.0,2971.0,35203914,0.0
14017606,123245.0,230924.0,35201356,1620.0
13444175,85.0,488.0,35203733,0.0
13460564,241820.0,301011.0,35203860,27850.0
30000214,4045.0,16789.0,35201586,185.0
13452376,550.0,4197.0,35200465,0.0
13460566,157785.0,303657.0,35204544,31640.0
13468766,3900.0,9241.0,35201659,0.0
13460578,169920.0,339526.0,35204514,77205.0
13468773,11055.0,29963.0,35203133,0.0
13452391,55.0,2585.0,35201969,0.0
20038763,60270.0,186923.0,35203195,0.0
13452399,665.0,4208.0,35200467,0.0
13460595,685.0,7795.0,35201786,0.0
30090356,11055.0,29741.0,35203143,0.0
13460606,1530.0,4240.0,35203978,0.0
13444230,6285.0,22691.0,35202509,0.0
13452421,1205.0,4257.0,35202703,0.0
13468806,84195.0,188625.0,35203167,8950.0
13444233,3910.0,39126.0,35200217,0.0
13468810,1505.0,9660.0,35201616,0.0
13460619,146425.0,281444.0,35200571,0.0
13468812,11015.0,29803.0,35203135,0.0
13460621,164950.0,343624.0,35204513,70980.0
13452430,610.0,4782.0,35204342,0.0
13460627,181865.0,356581.0,35201122,3340.0
13460641,3000.0,24350.0,35202999,0.0
30106787,454930.0,398354.0,35201060,101310.0
13444263,3910.0,39300.0,35200207,0.0
13460647,114530.0,318347.0,35204541,170525.0
13452457,1830.0,24204.0,35201904,0.0
13452461,12785.0,34909.0,35203468,0.0
20038830,65620.0,205755.0,35204001,0.0
13452463,80.0,1903.0,35202172,0.0
30033071,690.0,3510.0,35204049,0.0
13452471,2740.0,8649.0,35200464,0.0
13460664,3000.0,24335.0,35202983,0.0
13452484,105.0,2404.0,35203053,0.0
14042312,87580.0,198978.0,35201348,0.0
13460682,36470.0,158898.0,35200646,0.0
13460685,98145.0,238802.0,35201188,1170.0
13468880,11055.0,29894.0,35203134,0.0
13460689,143780.0,324429.0,35204542,134325.0
13468882,11055.0,29542.0,35203137,0.0
13460693,67475.0,235684.0,35200595,0.0
20038870,65275.0,204918.0,35203204,0.0
30098652,43575.0,204731.0,35203882,0.0
13452514,3295.0,9368.0,35204855,0.0
14066916,87715.0,258860.0,35202258,76775.0
13460711,3000.0,24496.0,35202976,0.0
14673130,402120.0,357350.0,35204468,35815.0
13460716,229575.0,332266.0,35202880,11185.0
13468915,1505.0,9750.0,35203112,0.0
